name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS)
Read,205,0,48.4,0.04,0.01,0.02,48.1,
Read,405,0,97.1,0.03,0.01,0.01,96.5,
Read,605,0,144.5,0.07,0.00,0.01,144.3,
Read,805,0,191.2,0.04,0.00,0.01,190.8,
Read,1005,0,247.2,0.07,0.00,0.01,246.9,
Read,1205,0,281.1,0.14,0.00,0.02,280.2,
Read,1224,181,330.6,0.18,0.00,0.02,330.2,
Read,821,784,392.0,0.61,0.01,0.07,391.4,
Read,1022,781,430.9,0.43,0.00,0.10,430.2,
Read,600,1381,452.5,1.77,0.01,0.60,452.0,
Read,500,1636,486.9,3.99,0.01,1.15,431.3,
Read,500,1817,557.6,4.44,0.02,1.93,454.9,
