name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS)
init,205,0,49.1,3.38,0.09,0.38,32.7,
init,405,0,95.0,3.43,0.08,0.29,65.1,
init,601,4,142.4,4.25,0.19,0.91,96.0,
init,785,8,187.7,5.67,0.25,2.02,123.0,
init,960,5,233.2,5.74,0.29,2.84,132.7,
init,1106,6,260.5,8.27,0.24,4.73,108.6,
init,1302,9,312.2,9.31,1.20,5.58,117.1,
init,1362,11,318.9,11.36,1.40,7.05,102.8,
init,1609,12,383.2,15.04,1.51,8.01,107.0,
init,1792,11,437.4,16.28,2.42,9.91,101.1,
init,1968,11,480.7,18.66,3.35,11.65,100.0,
init,2162,11,529.0,20.29,3.08,12.90,97.9,
